** デバッグ
|表階|階名|次階|フ型|怪物|06|イベント|地形型|10|階型|音楽|h
|31|0x26|31|0x01|30|0x00|0x0000|0x2D|0xFF|0x03|0x44|
|32|0x26|32|0x01|31|0x00|0x0000|0x2B|0xFF|0x03|0x44|
|33|0x26|33|0x01|32|0x00|0x0000|0x27|0xFF|0x00|0x44|
|34|0x26|34|0x01|33|0x00|0x0000|0x2F|0xFF|0x00|0x44|
|35|0x26|35|0x01|34|0x00|0x0000|0x2E|0xFF|0x03|0x44|
|36|0x26|36|0x01|35|0x00|0x0000|0x22|0xFF|0x03|0x44|
|37|0x26|37|0x01|36|0x00|0x0000|0x21|0xFF|0x03|0x44|
|38|0x26|38|0x01|37|0x00|0x0000|0x2A|0xFF|0x03|0x44|
|39|0x26|39|0x01|38|0x00|0x0000|0x29|0xFF|0x03|0x44|
|40|0x26|40|0x01|39|0x00|0x0000|0x2F|0xFF|0x03|0x44|
|41|0x26|41|0x01|40|0x00|0x0000|0x24|0xFF|0x03|0x44|
|42|0x26|42|0x01|41|0x00|0x0000|0x2E|0xFF|0x00|0x44|
|43|0x26|43|0x01|42|0x00|0x0000|0x30|0xFF|0x00|0x44|
|44|0x26|44|0x01|43|0x00|0x0000|0x2D|0xFF|0x00|0x44|
|45|0x26|45|0x01|44|0x00|0x0000|0x28|0xFF|0x00|0x44|
|46|0x26|46|0x01|45|0x00|0x0000|0x2C|0xFF|0x03|0x44|
|47|0x26|47|0x01|46|0x00|0x0000|0x2C|0xFF|0x00|0x44|
|48|0x26|48|0x01|47|0x00|0x0000|0x25|0xFF|0x00|0x44|
|49|0x26|49|0x01|48|0x00|0x0000|0x25|0xFF|0x03|0x44|
|50|0x26|50|0x01|49|0x00|0x0000|0x26|0xFF|0x00|0x44|
|51|0x26|51|0x01|50|0x00|0x0000|0x24|0xFF|0x00|0x44|
|52|0x26|52|0x01|51|0x00|0x0000|0x2E|0xFF|0x03|0x44|
|53|0x26|53|0x01|52|0x00|0x0000|0x30|0xFF|0x03|0x44|
|54|0x26|54|0x01|53|0x00|0x0000|0x2D|0xFF|0x03|0x44|
|55|0x26|55|0x01|54|0x00|0x0000|0x28|0xFF|0x03|0x44|
|56|0x26|56|0x01|55|0x00|0x0000|0x26|0xFF|0x03|0x44|
|57|0x26|57|0x01|56|0x00|0x0000|0x23|0xFF|0x00|0x44|
|58|0x26|58|0x01|57|0x00|0x0000|0x22|0xFF|0x00|0x44|
|59|0x26|59|0x01|58|0x00|0x0000|0x21|0xFF|0x00|0x44|
|60|0x26|60|0x01|59|0x00|0x0000|0x29|0xFF|0x00|0x44|
|61|0x26|61|0x01|60|0x00|0x0000|0x2E|0xFF|0x00|0x44|
|62|0x26|62|0x01|61|0x00|0x0000|0x2E|0xFF|0x03|0x44|
|63|0x26|63|0x01|62|0x00|0x0000|0x27|0xFF|0x03|0x44|
|64|0x26|64|0x01|63|0x00|0x0000|0x23|0xFF|0x03|0x44|
|65|0x26|65|0x01|64|0x00|0x0000|0x22|0xFF|0x03|0x44|
|66|0x26|66|0x01|65|0x00|0x0000|0x21|0xFF|0x03|0x44|
|67|0x26|67|0x01|66|0x00|0x0000|0x29|0xFF|0x03|0x44|
|68|0x26|68|0x01|67|0x00|0x0000|0x2D|0xFF|0x00|0x44|
|69|0x26|69|0x01|68|0x00|0x0000|0x30|0xFF|0x00|0x44|
|70|0x26|70|0x01|69|0x00|0x0000|0x2E|0xFF|0x00|0x44|
|71|0x26|71|0x01|70|0x00|0x0000|0x2D|0xFF|0x03|0x44|
|72|0x26|72|0x01|71|0x00|0x0000|0x2B|0xFF|0x03|0x44|
|73|0x26|73|0x01|72|0x00|0x0000|0x27|0xFF|0x00|0x44|
|74|0x26|74|0x01|73|0x00|0x0000|0x2F|0xFF|0x00|0x44|
|75|0x26|75|0x01|74|0x00|0x0000|0x2E|0xFF|0x03|0x44|
|76|0x26|76|0x01|75|0x00|0x0000|0x22|0xFF|0x03|0x44|
|77|0x26|77|0x01|76|0x00|0x0000|0x21|0xFF|0x03|0x44|
|78|0x26|78|0x01|77|0x00|0x0000|0x2A|0xFF|0x03|0x44|
|79|0x26|79|0x01|78|0x00|0x0000|0x29|0xFF|0x03|0x44|
|80|0x26|80|0x01|79|0x00|0x0000|0x2F|0xFF|0x03|0x44|
|81|0x26|81|0x01|80|0x00|0x0000|0x24|0xFF|0x03|0x44|
|82|0x26|82|0x01|81|0x00|0x0000|0x2E|0xFF|0x00|0x44|
|83|0x26|83|0x01|82|0x00|0x0000|0x30|0xFF|0x00|0x44|
|84|0x26|84|0x01|83|0x00|0x0000|0x2D|0xFF|0x00|0x44|
|85|0x26|85|0x01|84|0x00|0x0000|0x27|0xFF|0x03|0x44|
|86|0x26|86|0x01|85|0x00|0x0000|0x2C|0xFF|0x03|0x44|
|87|0x26|87|0x01|86|0x00|0x0000|0x2C|0xFF|0x00|0x44|
|88|0x26|88|0x01|87|0x00|0x0000|0x25|0xFF|0x00|0x44|
|89|0x26|89|0x01|88|0x00|0x0000|0x25|0xFF|0x03|0x44|
|90|0x26|90|0x01|89|0x00|0x0000|0x2C|0xFF|0x03|0x44|
|91|0x26|91|0x01|90|0x00|0x0000|0x2C|0xFF|0x00|0x44|
|92|0x26|92|0x01|91|0x00|0x0000|0x28|0xFF|0x00|0x44|
|93|0x26|93|0x01|92|0x00|0x0000|0x2E|0xFF|0x03|0x44|
|94|0x26|94|0x01|93|0x00|0x0000|0x2F|0xFF|0x00|0x44|
|95|0x26|95|0x01|94|0x00|0x0000|0x30|0xFF|0x00|0x44|
|96|0x26|96|0x01|95|0x00|0x0000|0x21|0xFF|0x03|0x44|
|97|0x26|97|0x01|96|0x00|0x0000|0x2D|0xFF|0x00|0x44|
|98|0x26|98|0x01|97|0x00|0x04AF|0x23|0xFF|0x00|0x44|
|99|0x26|99|0x01|98|0x00|0x0000|0x27|0xFF|0x03|0x44|
|99|0x26|100|0x01|98|0x00|0x0000|0x2F|0xFF|0x00|0x44|
|99|0x26|101|0x01|98|0x00|0x0000|0x30|0xFF|0x00|0x44|
|99|0x26|102|0x01|98|0x00|0x0000|0x29|0xFF|0x00|0x44|
|99|0x26|103|0x01|98|0x00|0x0000|0x22|0xFF|0x00|0x44|
|99|0x26|104|0x01|98|0x00|0x0000|0x21|0xFF|0x00|0x44|
|99|0x26|105|0x01|98|0x00|0x0000|0x2A|0xFF|0x00|0x44|
|99|0x26|106|0x01|98|0x00|0x0000|0x2E|0xFF|0x00|0x44|
|99|0x26|107|0x01|98|0x00|0x0000|0x2D|0xFF|0x00|0x44|
|99|0x26|108|0x01|98|0x00|0x0000|0x23|0xFF|0x00|0x44|
|99|0x26|99|0x01|98|0x00|0x0000|0x27|0xFF|0x00|0x44|

** あかずの間
|表階|階名|次階|フ型|怪物|06|イベント|地形型|10|階型|音楽|h
|1|0x27|1|0x01|0|0x00|0x0000|0x25|0xFF|0x03|0x44|
|2|0x27|2|0x01|1|0x00|0x0000|0x25|0xFF|0x00|0x44|
|3|0x27|3|0x01|2|0x00|0x0000|0x26|0xFF|0x00|0x44|
|4|0x27|4|0x01|3|0x00|0x0000|0x29|0xFF|0x00|0x44|
|5|0x27|5|0x01|4|0x00|0x0000|0x2A|0xFF|0x00|0x44|
|6|0x27|6|0x01|5|0x00|0x0000|0x21|0xFF|0x00|0x44|
|7|0x27|7|0x01|6|0x00|0x0000|0x26|0xFF|0x03|0x44|
|8|0x27|8|0x01|7|0x00|0x0000|0x29|0xFF|0x03|0x44|
|9|0x27|9|0x01|8|0x00|0x0000|0x2A|0xFF|0x03|0x44|
|10|0x27|10|0x01|9|0x00|0x0000|0x21|0xFF|0x03|0x44|
|11|0x27|11|0x01|10|0x00|0x0000|0x22|0xFF|0x00|0x44|
|12|0x27|12|0x01|11|0x00|0x0000|0x2C|0xFF|0x00|0x44|
|13|0x27|13|0x01|12|0x00|0x0000|0x28|0xFF|0x03|0x44|
|14|0x27|14|0x01|13|0x00|0x0000|0x2F|0xFF|0x00|0x44|
|15|0x27|15|0x01|14|0x00|0x0000|0x2D|0xFF|0x03|0x44|
|16|0x27|16|0x01|15|0x00|0x0000|0x30|0xFF|0x00|0x44|
|17|0x27|17|0x01|16|0x00|0x0000|0x2E|0xFF|0x00|0x44|
|18|0x27|18|0x01|17|0x00|0x0000|0x2B|0xFF|0x00|0x44|
|19|0x27|19|0x01|18|0x00|0x04B4|0x27|0xFF|0x00|0x44|
|20|0x27|20|0x01|19|0x00|0x0000|0x24|0xFF|0x03|0x44|
|21|0x27|21|0x01|20|0x00|0x0000|0x23|0xFF|0x00|0x44|
|22|0x27|22|0x01|21|0x00|0x0000|0x21|0xFF|0x00|0x44|
|23|0x27|23|0x01|22|0x00|0x0000|0x26|0xFF|0x03|0x44|
|24|0x27|24|0x01|23|0x00|0x0000|0x29|0xFF|0x03|0x44|
|25|0x27|25|0x01|24|0x00|0x0000|0x2A|0xFF|0x03|0x44|
|26|0x27|26|0x01|25|0x00|0x0000|0x21|0xFF|0x03|0x44|
|27|0x27|27|0x01|26|0x00|0x0000|0x22|0xFF|0x03|0x44|
|28|0x27|28|0x01|27|0x00|0x0000|0x2C|0xFF|0x03|0x44|
|29|0x27|29|0x01|28|0x00|0x04B5|0x28|0xFF|0x00|0x44|
|30|0x27|30|0x01|29|0x00|0x0000|0x2F|0xFF|0x03|0x44|
|31|0x27|31|0x01|30|0x00|0x0000|0x2D|0xFF|0x00|0x44|
|32|0x27|32|0x01|31|0x00|0x0000|0x30|0xFF|0x03|0x44|
|33|0x27|33|0x01|32|0x00|0x0000|0x2E|0xFF|0x03|0x44|
|34|0x27|34|0x01|33|0x00|0x0000|0x2B|0xFF|0x03|0x44|
|35|0x27|35|0x01|34|0x00|0x0000|0x27|0xFF|0x03|0x44|
|36|0x27|36|0x01|35|0x00|0x0000|0x24|0xFF|0x00|0x44|
|37|0x27|37|0x01|36|0x00|0x0000|0x25|0xFF|0x00|0x44|
|38|0x27|38|0x01|37|0x00|0x0000|0x26|0xFF|0x00|0x44|
|39|0x27|39|0x01|38|0x00|0x04B6|0x29|0xFF|0x00|0x44|
|40|0x27|40|0x01|39|0x00|0x0000|0x22|0xFF|0x00|0x44|
|41|0x27|41|0x01|40|0x00|0x0000|0x2C|0xFF|0x00|0x44|
|42|0x27|42|0x01|41|0x00|0x0000|0x2C|0xFF|0x03|0x44|
|43|0x27|43|0x01|42|0x00|0x0000|0x28|0xFF|0x00|0x44|
|44|0x27|44|0x01|43|0x00|0x0000|0x2E|0xFF|0x00|0x44|
|45|0x27|45|0x01|44|0x00|0x0000|0x23|0xFF|0x03|0x44|
|46|0x27|46|0x01|45|0x00|0x0000|0x30|0xFF|0x00|0x44|
|47|0x27|47|0x01|46|0x00|0x0000|0x2A|0xFF|0x00|0x44|
|48|0x27|48|0x01|47|0x00|0x0000|0x27|0xFF|0x03|0x44|
|49|0x27|49|0x01|48|0x00|0x04B7|0x24|0xFF|0x00|0x44|
|50|0x27|50|0x01|49|0x00|0x0000|0x25|0xFF|0x03|0x44|
|51|0x27|51|0x01|50|0x00|0x0000|0x22|0xFF|0x00|0x44|
|52|0x27|52|0x01|51|0x00|0x0000|0x2C|0xFF|0x00|0x44|
|53|0x27|53|0x01|52|0x00|0x0000|0x28|0xFF|0x03|0x44|
|54|0x27|54|0x01|53|0x00|0x0000|0x2F|0xFF|0x00|0x44|
|55|0x27|55|0x01|54|0x00|0x0000|0x2D|0xFF|0x03|0x44|
|56|0x27|56|0x01|55|0x00|0x0000|0x30|0xFF|0x00|0x44|
|57|0x27|57|0x01|56|0x00|0x0000|0x2E|0xFF|0x00|0x44|
|58|0x27|58|0x01|57|0x00|0x0000|0x2B|0xFF|0x00|0x44|
|59|0x27|59|0x01|58|0x00|0x04B8|0x27|0xFF|0x00|0x44|
|60|0x27|60|0x01|59|0x00|0x04B8|0x24|0xFF|0x03|0x44|
|61|0x27|61|0x01|60|0x00|0x04B8|0x23|0xFF|0x00|0x44|
|62|0x27|62|0x01|61|0x00|0x04B8|0x21|0xFF|0x00|0x44|
|63|0x27|63|0x01|62|0x00|0x04B8|0x26|0xFF|0x03|0x44|
|64|0x27|64|0x01|63|0x00|0x04B8|0x29|0xFF|0x03|0x44|
|65|0x27|65|0x01|64|0x00|0x04B8|0x2A|0xFF|0x03|0x44|
|66|0x27|66|0x01|65|0x00|0x04B8|0x21|0xFF|0x03|0x44|
|67|0x27|67|0x01|66|0x00|0x04B8|0x22|0xFF|0x03|0x44|
|68|0x27|68|0x01|67|0x00|0x04B8|0x2C|0xFF|0x03|0x44|
|69|0x27|69|0x01|68|0x00|0x04B8|0x28|0xFF|0x00|0x44|
|70|0x27|70|0x01|69|0x00|0x04B8|0x2F|0xFF|0x03|0x44|
|71|0x27|71|0x01|70|0x00|0x04B8|0x2D|0xFF|0x00|0x44|
|72|0x27|72|0x01|71|0x00|0x04B8|0x30|0xFF|0x03|0x44|
|73|0x27|73|0x01|72|0x00|0x04B8|0x2E|0xFF|0x03|0x44|
|74|0x27|74|0x01|73|0x00|0x04B8|0x2B|0xFF|0x03|0x44|
|75|0x27|75|0x01|74|0x00|0x04B8|0x27|0xFF|0x03|0x44|
|76|0x27|76|0x01|75|0x00|0x04B8|0x24|0xFF|0x00|0x44|
|77|0x27|77|0x01|76|0x00|0x04B8|0x25|0xFF|0x00|0x44|
|78|0x27|78|0x01|77|0x00|0x04B8|0x26|0xFF|0x00|0x44|
|79|0x27|79|0x01|78|0x00|0x04B8|0x29|0xFF|0x00|0x44|
|80|0x27|80|0x01|79|0x00|0x04B8|0x22|0xFF|0x00|0x44|
|81|0x27|81|0x01|80|0x00|0x04B8|0x25|0xFF|0x03|0x44|
|82|0x27|82|0x01|81|0x00|0x04B8|0x25|0xFF|0x00|0x44|
|83|0x27|83|0x01|82|0x00|0x04B8|0x26|0xFF|0x00|0x44|
|84|0x27|84|0x01|83|0x00|0x04B8|0x29|0xFF|0x00|0x44|
|85|0x27|85|0x01|84|0x00|0x04B8|0x2A|0xFF|0x00|0x44|
|86|0x27|86|0x01|85|0x00|0x04B8|0x21|0xFF|0x00|0x44|
|87|0x27|87|0x01|86|0x00|0x04B8|0x26|0xFF|0x03|0x44|
|88|0x27|88|0x01|87|0x00|0x04B8|0x29|0xFF|0x03|0x44|
|89|0x27|89|0x01|88|0x00|0x04B8|0x2A|0xFF|0x03|0x44|
|90|0x27|90|0x01|89|0x00|0x04B8|0x21|0xFF|0x03|0x44|
|91|0x27|91|0x01|90|0x00|0x04B8|0x2D|0xFF|0x03|0x44|
|92|0x27|92|0x01|91|0x00|0x04B8|0x24|0xFF|0x03|0x44|
|93|0x27|93|0x01|92|0x00|0x04B8|0x2B|0xFF|0x03|0x44|
|94|0x27|94|0x01|93|0x00|0x04B8|0x27|0xFF|0x03|0x44|
|95|0x27|95|0x01|94|0x00|0x04B8|0x30|0xFF|0x00|0x44|
|96|0x27|96|0x01|95|0x00|0x04B8|0x2F|0xFF|0x00|0x44|
|97|0x27|97|0x01|96|0x00|0x04B8|0x2E|0xFF|0x00|0x44|
|98|0x27|98|0x01|97|0x00|0x04B9|0x23|0xFF|0x03|0x44|
|99|0x27|99|0x01|98|0x00|0x04B9|0x22|0xFF|0x00|0x44|
|99|0x27|100|0x01|98|0x00|0x04B9|0x23|0xFF|0x00|0x44|
|99|0x27|101|0x01|98|0x00|0x04B9|0x26|0xFF|0x00|0x44|
|99|0x27|102|0x01|98|0x00|0x04B9|0x21|0xFF|0x00|0x44|
|99|0x27|103|0x01|98|0x00|0x04B9|0x27|0xFF|0x00|0x44|
|99|0x27|104|0x01|98|0x00|0x04B9|0x29|0xFF|0x00|0x44|
|99|0x27|105|0x01|98|0x00|0x04B9|0x2D|0xFF|0x00|0x44|
|99|0x27|106|0x01|98|0x00|0x04B9|0x30|0xFF|0x00|0x44|
|99|0x27|107|0x01|98|0x00|0x04B9|0x2F|0xFF|0x00|0x44|
|99|0x27|108|0x01|98|0x00|0x04B9|0x23|0xFF|0x03|0x44|
|99|0x27|99|0x01|98|0x00|0x04B9|0x22|0xFF|0x00|0x44|

** けいこ場
|表階|階名|次階|フ型|怪物|06|イベント|地形型|10|階型|音楽|h
|0|0x2A|0|0x53|0|0x00|0x0000|0x78|0xFF|0xFF|0x21|

** 倉庫
|表階|階名|次階|フ型|怪物|06|イベント|地形型|10|階型|音楽|h
|0|0x00|0|0x53|0|0x00|0x0000|0x77|0xFF|0xFF|0x02|

** 小さな谷
|表階|階名|次階|フ型|怪物|06|イベント|地形型|10|階型|音楽|h
|1|0x23|1|0x03|0|0x00|0x0000|0x43|0x10|0x10|0x24|
|2|0x23|2|0x03|1|0x00|0x0000|0x43|0x10|0x10|0x24|
|3|0x23|0|0x03|2|0x00|0x0017|0x43|0x10|0x10|0x24|

** 黄金の間(シュテン山道上級)
|表階|階名|次階|フ型|怪物|06|イベント|地形型|10|階型|音楽|h
|1|0x29|1|0x03|0|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|2|0x29|2|0x03|1|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|3|0x29|3|0x03|2|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|4|0x29|4|0x03|3|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|5|0x29|5|0x03|4|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|6|0x29|0|0x03|0|0x00|0x0000|0x4C|0x00|0x06|0x1E|

** 黄金の間(鬼ヶ島)
|表階|階名|次階|フ型|怪物|06|イベント|地形型|10|階型|音楽|h
|1|0x29|1|0x03|0|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|2|0x29|2|0x03|1|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|3|0x29|3|0x03|2|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|4|0x29|4|0x03|3|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|5|0x29|5|0x03|4|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|6|0x29|0|0x03|0|0x00|0x0000|0x4C|0x00|0x06|0x1E|

** 黄金の間(最果てへの道低層)
|表階|階名|次階|フ型|怪物|06|イベント|地形型|10|階型|音楽|h
|1|0x29|1|0x03|0|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|2|0x29|2|0x03|1|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|3|0x29|3|0x03|2|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|4|0x29|4|0x03|3|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|5|0x29|5|0x03|4|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|6|0x29|0|0x03|0|0x00|0x0000|0x4C|0x00|0x06|0x1E|

** 黄金の間(最果てへの道中層)
|表階|階名|次階|フ型|怪物|06|イベント|地形型|10|階型|音楽|h
|1|0x29|1|0x03|0|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|2|0x29|2|0x03|1|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|3|0x29|3|0x03|2|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|4|0x29|4|0x03|3|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|5|0x29|5|0x03|4|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|6|0x29|0|0x03|0|0x00|0x0000|0x4C|0x00|0x06|0x1E|

** 黄金の間(最果てへの道深層)
|表階|階名|次階|フ型|怪物|06|イベント|地形型|10|階型|音楽|h
|1|0x29|1|0x03|0|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|2|0x29|2|0x03|1|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|3|0x29|3|0x03|2|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|4|0x29|4|0x03|3|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|5|0x29|5|0x03|4|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|6|0x29|0|0x03|0|0x00|0x0000|0x4C|0x00|0x06|0x1E|

** 黄金の間(中腹の井戸)
|表階|階名|次階|フ型|怪物|06|イベント|地形型|10|階型|音楽|h
|1|0x29|1|0x03|0|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|2|0x29|2|0x03|1|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|3|0x29|3|0x03|2|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|4|0x29|4|0x03|3|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|5|0x29|5|0x03|4|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|6|0x29|0|0x03|0|0x00|0x0000|0x4C|0x00|0x06|0x1E|

** 黄金の間(あかずの間低層)
|表階|階名|次階|フ型|怪物|06|イベント|地形型|10|階型|音楽|h
|1|0x29|1|0x03|0|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|2|0x29|2|0x03|1|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|3|0x29|3|0x03|2|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|4|0x29|4|0x03|3|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|5|0x29|5|0x03|4|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|6|0x29|0|0x03|0|0x00|0x0000|0x4C|0x00|0x06|0x1E|

** 黄金の間(あかずの間深層)
|表階|階名|次階|フ型|怪物|06|イベント|地形型|10|階型|音楽|h
|1|0x29|1|0x03|0|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|2|0x29|2|0x03|1|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|3|0x29|3|0x03|2|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|4|0x29|4|0x03|3|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|5|0x29|5|0x03|4|0x00|0x0000|0x4C|0x00|0x06|0x1E|
|6|0x29|0|0x03|0|0x00|0x0000|0x4C|0x00|0x06|0x1E|

** ナタネ村
|表階|階名|次階|フ型|怪物|06|イベント|地形型|10|階型|音楽|h
|0|0x00|0|0x5F|0|0x00|0x0000|0x61|0xFF|0xFF|0x02|

