** 店
*** カテゴリ別出現率(比率)
#style(class=white-space_normal)
|RIGHT:種別&br;アイテム種別＼|1|2|3|4-5|6|7-8|9-10|h
|~草|35|35|50|50|40|20|50|
|~巻物|15|25|30|30|30|10|30|
|~武器|15|20|20|20|10|||
|~盾|15|20|20|20|10|||
|~矢||||10|10||10|
|~腕輪||10|10|10|10|||
|~杖|15|15|15|15|15||15|
|~おにぎり|20|15|15|15|15|10|15|
|~壺|10|10|10|10|10|5|10|
|~石||||5|2||5|
|~大砲の弾|||5|5|2||5|
|~城の材料|70|||||||
#style(end)

*** カテゴリ別出現率(%)
#style(class=white-space_normal)
|RIGHT:種別&br;アイテム種別＼|1|2|3|4-5|6|7-8|9-10|h
|~草|17.95%|23.33%|28.57%|26.32%|25.97%|44.44%|35.71%|
|~巻物|7.69%|16.67%|17.14%|15.79%|19.48%|22.22%|21.43%|
|~武器|7.69%|13.33%|11.43%|10.53%|6.49%|||
|~盾|7.69%|13.33%|11.43%|10.53%|6.49%|||
|~矢||||5.26%|6.49%||7.14%|
|~腕輪||6.67%|5.71%|5.26%|6.49%|||
|~杖|7.69%|10.00%|8.57%|7.89%|9.74%||10.71%|
|~おにぎり|10.26%|10.00%|8.57%|7.89%|9.74%|22.22%|10.71%|
|~壺|5.13%|6.67%|5.71%|5.26%|6.49%|11.11%|7.14%|
|~石||||2.63%|1.30%||3.57%|
|~大砲の弾|||2.86%|2.63%|1.30%||3.57%|
|~城の材料|35.90%|||||||
#style(end)

*** アイテム出現率(比率)
#style(class=white-space_normal)
|RIGHT:種別&br;アイテム＼|1|2|3|4|5|6|7-8|9-10|h
|~武器|20|20|15|10|15|20|||15|20||20||
|~盾|20|20|15|10|15|20||20||20|10|||
|~矢|10|5|10|10||10|10|||10||||
|~腕輪|10|10|10|10|15|10|10||15|||||
|~杖|15|15|15|10|30|15|15|||||||
|~おにぎり|10|15|15|15||||||||||
|~壺|10|10|10|5||10|10|||||||
|~石|5|5|5|5||||||||||
|~大砲の弾|5|5|5|5||5||||||||
|~ギタン|20|20|20|||||||||||
|~ワナ||||35||||||||||
#style(end)

*** カテゴリ別出現率(%)
#style(class=white-space_normal)
|RIGHT:種別&br;アイテム種別＼|1|2|3|4|5|6|7|8|9|10|11|12|13|h
|~草|18.42%|24.39%|21.05%|19.35%|16.67%|23.33%|33.33%|||13.33%|||100.00%|
|~巻物|15.79%|14.63%|15.79%|6.45%|20.83%|16.67%|23.81%|||20.00%||||
|~武器|10.53%|9.76%|7.89%|6.45%|12.50%|13.33%|||50.00%|26.67%||100.00%||
|~盾|10.53%|9.76%|7.89%|6.45%|12.50%|13.33%||100.00%||26.67%|100.00%|||
|~矢|5.26%|2.44%|5.26%|6.45%||6.67%|9.52%|||13.33%||||
|~腕輪|5.26%|4.88%|5.26%|6.45%|12.50%|6.67%|9.52%||50.00%|||||
|~杖|7.89%|7.32%|7.89%|6.45%|25.00%|10.00%|14.29%|||||||
|~おにぎり|5.26%|7.32%|7.89%|9.68%||||||||||
|~壺|5.26%|4.88%|5.26%|3.23%||6.67%|9.52%|||||||
|~石|2.63%|2.44%|2.63%|3.23%||||||||||
|~大砲の弾|2.63%|2.44%|2.63%|3.23%||3.33%||||||||
|~ギタン|10.53%|9.76%|10.53%|||||||||||
|~ワナ||||22.58%||||||||||
#style(end)

*** アイテム出現率(比率)
#style(class=white-space_normal)
|RIGHT:種別&br;アイテム＼|1|2|3|4|5|6|7|8|9|10|11|12|13|h
|~薬草||||15||||||||||
|~弟切草|10|||30||||||||||
|~しあわせ草|10|15|10||15|10|10|||||||
|~めぐすり草|10|20|10||||10|||||||
|~火炎草|10|15|10||||10|||||||
|~天使の種||||||5|5|||10||||
|~復活の草|10|10|10|3|10|10|10|||10||||
|~くねくね草|||10|5|||10|||||||
|~不幸の種|||10|5||||||||||
|~命の草|10|15|10|10||10|10|||||||
|~胃拡張の種||15|10|20||10|10|||||||
|~ちからの草|10|10|10|||10|10|||||||
|~毒消し草|10|10|10|10||10|10|||||||
|~毒草|10|10|10|5||10|10|||||||
|~高とび草|10|10|10|10||10|10|||||||
|~よくきき草||10|10|10||10|10|||||||
|~すばやさ草|10|10|10|10||10|10|||||||
|~話の種|||10||||10|||||||
|~ドラゴン草||10||10||10||||||||
|~雑草|||||||||||||1|
|~大部屋の巻物||10|10|||10|10|||||||
|~すいだしの巻物||10|10|||10|10|||||||
|~地の恵みの巻物|10|10|10||15|10|10|||||||
|~天の恵みの巻物|10|10|10||15|10|10|||||||
|~メッキの巻物|||10||||10|||||||
|~壺増大の巻物||10|10|||10|10|||||||
|~バクスイの巻物|10|10|10|||10|10|||||||
|~白紙の巻物|||10|||||||||||
|~引き上げの巻物|10|||||||||||||
|~おはらいの巻物|10|10|10|||10|10|||||||
|~壺われずの巻物|||10||||10|||||||
|~バクハの巻物|||10|20|||10|||||||
|~仕入れ直しの巻物|||10||||10|||||||
|~聖域の巻物|10|10|10||10|10||||10||||
|~分身の巻物||12||||||||||||
|~ワナけしの巻物||10|10||||10|||||||
|~水がれの巻物||10|10|||10|10|||||||
|~ワナ作動の巻物||||20||||||||||
|~いかずちの巻物||15||||||||||||
|~炎上の巻物|10|20||||||||||||
|~氷の巻物||15|10|||10|10|||||||
|~ゾワゾワの巻物||10||||||||||||
|~持ちかえりの巻物||10||||||||||||
|~こんぼう|||5|||||||||||
|~長巻|||5|||||||||||
|~カタナ|5||5|||||||||||
|~どうたぬき|||5||10|||||||||
|~剛剣マンジカブラ||3|5|||||||||||
|~つるはし||20|5|10||||||||||
|~妖刀かまいたち|10|15|10|||10||||||||
|~一ツ目殺し|10|15|10|||10||||||||
|~成仏のカマ|10|10|10|||10||||||||
|~ドレインバスター||10|10|||10||||||||
|~ごんぼう||10|5|||||||||||
|~かつおぶし||15|5|||||||||||
|~金の剣|||5|||||||10||||
|~ガマラのムチ|||||||||10|||||
|~にぎりへんげの剣|||||||||10|||||
|~使い捨ての剣||20|10|||||||||||
|~木づち|||10||10|10||||||||
|~スパークソード|||10||15|||||||||
|~ヤリ||20|10|||||||||||
|~モーニングスター|||10|||||||||||
|~象牙の剣|||10|||||||||||
|~宝刀ミジンハ||||||||||||10||
|~やまびこの盾|||10|||||||10||||
|~見切りの盾|||10|||||||10||||
|~皮の盾||20|10|||||||||||
|~バトルカウンター|10|20|10|||||||||||
|~使い捨ての盾|10|20|10|10||||||||||
|~地雷ナバリの盾|10|15|10|||10||||||||
|~重装の盾||30|10|10||||||||||
|~トドの盾|||10|||||||||||
|~金の盾|||10|||||||10||||
|~きたえた木の盾|||10||15|||||10||||
|~象牙の盾|||10|||||||||||
|~身かわしの盾||||||||10||||||
|~はね返しの盾||||||||10||||||
|~うろこの盾|10|15|10|||||||||||
|~呪いよけの盾|||10|||||||||||
|~カラクロイドの盾|||||||||||10|||
|~しあわせの盾|||10|||10||||10||||
|~矛の盾|||10|||||||||||
|~風魔の盾|||10|||||||||||
|~ばん族の立て||10|10|||10||||||||
|~オオカブトの盾|10|10|10|||10||||||||
|~木の矢|||10|20||||||||||
|~鉄の矢|20|20|20|||||||||||
|~銀の矢|20|20|20|||||||||||
|~会心の矢|||10|||10|10|||10||||
|~かまいたちの矢|||10|||10|10|||10||||
|~回復の腕輪|||||15|||||||||
|~遠投の腕輪|10|15|10|||10|10|||||||
|~とうしの腕輪|10|10|10|||10|10|||||||
|~たれ流しの腕輪|||10||||10|||||||
|~ハラヘラズの腕輪|||||||||10|||||
|~まがりの腕輪||15|||15|||||||||
|~百発百中の腕輪||15||||||||||||
|~パコレプキンの腕輪|||10||||10|||||||
|~くねくねよけの腕輪||10||||||||||||
|~ちからの腕輪|10|10|10|||10|10|||||||
|~まじしおの腕輪|10|10|10|||10|10|||||||
|~ワナ師の腕輪||||20||||||||||
|~紙一重の腕輪||15||||||||||||
|~しあわせの杖||10|10|||||||||||
|~不幸の杖||10|10|||||||||||
|~場所がえの杖|10|15|10|10|||10|||||||
|~ふきとばしの杖|10|15|10|10|||10|||||||
|~封印の杖|||10||||10|||||||
|~鈍足の杖||20|10|||||||||||
|~クオーターの杖|||10|||||||||||
|~引きよせの杖||10|10|10||10|10|||||||
|~回復の杖|10|10|||10|||||||||
|~からぶりの杖|10|10|10|||10|10|||||||
|~草投げの杖||10|10|||10|10|||||||
|~草受けの杖||10|10|||10|10|||||||
|~火ばしらの杖|10|10|10|||10|10|||||||
|~トンネルの杖||15|10|10||||||||||
|~ころばぬ先の杖|10|10|10||10|10|10|||||||
|~物知りの杖|10|30|10|||10|10|||||||
|~のりうつりの杖||15|10|||10|10|||||||
|~おにぎり|10|10|10|10||||||||||
|~大きなおにぎり||10||||||||||||
|~巨大なおにぎり||10||||||||||||
|~特製おにぎり||10||||||||||||
|~ほぞんの壺|10|10||10|||10|||||||
|~しきべつの壺|10|10|10|||10|10|||||||
|~合成の壺||10|10|||10||||||||
|~へんげの壺||10|10|||10|10|||||||
|~手封じの壺|||10||||10|||||||
|~水がめ||10|10|||10|10|||||||
|~草効果の壺|||||||10|||||||
|~弱化の壺|||10||||10|||||||
|~石|1|1|1|1||||||||||
|~デブータの石|1|1|1|1||||||||||
|~大砲の弾|1|1|1|1||1||||||||
|~ギタン|100|100|100|||||||||||
|~ころび石||||10||||||||||
|~ケロケロの雨||||10||||||||||
|~装備はずしのワナ||||10||||||||||
|~デロデロの湯||||10||||||||||
|~召喚スイッチ||||10||||||||||
|~落とし穴||||10||||||||||
|~バネ||||10||||||||||
|~丸太のワナ||||10||||||||||
|~回転板||||10||||||||||
|~眠りガス||||10||||||||||
|~鈍足のワナ||||10||||||||||
|~トラバサミ||||10||||||||||
|~毒矢のワナ||||10||||||||||
|~地雷||||10||||||||||
|~大型地雷||||10||||||||||
|~水てきポットン||||10||||||||||
|~イガイガボトボト||||10||||||||||
|~落石のワナ||||10||||||||||
|~大落石のワナ||||10||||||||||
|~木の矢のワナ||||10||||||||||
|~鉄の矢のワナ||||10||||||||||
|~モンスターのワナ||||10||||||||||
|~一方通行||||20||||||||||
|~レンサのワナ||||30||||||||||
#style(end)

*** アイテム出現率(%)
#style(class=white-space_normal)
|RIGHT:種別&br;アイテム＼|1|2|3|4|5|6|7|8|9|10|11|12|13|h
|~薬草||||2.03%||||||||||
|~弟切草|1.67%|||4.06%||||||||||
|~しあわせ草|1.67%|2.29%|1.40%||10.00%|2.03%|2.30%|||||||
|~めぐすり草|1.67%|3.05%|1.40%||||2.30%|||||||
|~火炎草|1.67%|2.29%|1.40%||||2.30%|||||||
|~天使の種||||||1.01%|1.15%|||6.67%||||
|~復活の草|1.67%|1.52%|1.40%|0.41%|6.67%|2.03%|2.30%|||6.67%||||
|~くねくね草|||1.40%|0.68%|||2.30%|||||||
|~不幸の種|||1.40%|0.68%||||||||||
|~命の草|1.67%|2.29%|1.40%|1.35%||2.03%|2.30%|||||||
|~胃拡張の種||2.29%|1.40%|2.71%||2.03%|2.30%|||||||
|~ちからの草|1.67%|1.52%|1.40%|||2.03%|2.30%|||||||
|~毒消し草|1.67%|1.52%|1.40%|1.35%||2.03%|2.30%|||||||
|~毒草|1.67%|1.52%|1.40%|0.68%||2.03%|2.30%|||||||
|~高とび草|1.67%|1.52%|1.40%|1.35%||2.03%|2.30%|||||||
|~よくきき草||1.52%|1.40%|1.35%||2.03%|2.30%|||||||
|~すばやさ草|1.67%|1.52%|1.40%|1.35%||2.03%|2.30%|||||||
|~話の種|||1.40%||||2.30%|||||||
|~ドラゴン草||1.52%||1.35%||2.03%||||||||
|~雑草|||||||||||||100.00%|
|~大部屋の巻物||0.80%|0.99%|||1.67%|1.70%|||||||
|~すいだしの巻物||0.80%|0.99%|||1.67%|1.70%|||||||
|~地の恵みの巻物|2.26%|0.80%|0.99%||7.81%|1.67%|1.70%|||||||
|~天の恵みの巻物|2.26%|0.80%|0.99%||7.81%|1.67%|1.70%|||||||
|~メッキの巻物|||0.99%||||1.70%|||||||
|~壺増大の巻物||0.80%|0.99%|||1.67%|1.70%|||||||
|~バクスイの巻物|2.26%|0.80%|0.99%|||1.67%|1.70%|||||||
|~白紙の巻物|||0.99%|||||||||||
|~引き上げの巻物|2.26%|||||||||||||
|~おはらいの巻物|2.26%|0.80%|0.99%|||1.67%|1.70%|||||||
|~壺われずの巻物|||0.99%||||1.70%|||||||
|~バクハの巻物|||0.99%|3.23%|||1.70%|||||||
|~仕入れ直しの巻物|||0.99%||||1.70%|||||||
|~聖域の巻物|2.26%|0.80%|0.99%||5.21%|1.67%||||20.00%||||
|~分身の巻物||0.96%||||||||||||
|~ワナけしの巻物||0.80%|0.99%||||1.70%|||||||
|~水がれの巻物||0.80%|0.99%|||1.67%|1.70%|||||||
|~ワナ作動の巻物||||3.23%||||||||||
|~いかずちの巻物||1.21%||||||||||||
|~炎上の巻物|2.26%|1.61%||||||||||||
|~氷の巻物||1.21%|0.99%|||1.67%|1.70%|||||||
|~ゾワゾワの巻物||0.80%||||||||||||
|~持ちかえりの巻物||0.80%||||||||||||
|~こんぼう|||0.27%|||||||||||
|~長巻|||0.27%|||||||||||
|~カタナ|1.50%||0.27%|||||||||||
|~どうたぬき|||0.27%||3.57%|||||||||
|~剛剣マンジカブラ||0.21%|0.27%|||||||||||
|~つるはし||1.41%|0.27%|6.45%||||||||||
|~妖刀かまいたち|3.01%|1.06%|0.54%|||2.67%||||||||
|~一ツ目殺し|3.01%|1.06%|0.54%|||2.67%||||||||
|~成仏のカマ|3.01%|0.71%|0.54%|||2.67%||||||||
|~ドレインバスター||0.71%|0.54%|||2.67%||||||||
|~ごんぼう||0.71%|0.27%|||||||||||
|~かつおぶし||1.06%|0.27%|||||||||||
|~金の剣|||0.27%|||||||26.67%||||
|~ガマラのムチ|||||||||25.00%|||||
|~にぎりへんげの剣|||||||||25.00%|||||
|~使い捨ての剣||1.41%|0.54%|||||||||||
|~木づち|||0.54%||3.57%|2.67%||||||||
|~スパークソード|||0.54%||5.36%|||||||||
|~ヤリ||1.41%|0.54%|||||||||||
|~モーニングスター|||0.54%|||||||||||
|~象牙の剣|||0.54%|||||||||||
|~宝刀ミジンハ||||||||||||100.00%||
|~やまびこの盾|||0.44%|||||||5.33%||||
|~見切りの盾|||0.44%|||||||5.33%||||
|~皮の盾||1.39%|0.44%|||||||||||
|~バトルカウンター|2.11%|1.39%|0.44%|||||||||||
|~使い捨ての盾|2.11%|1.39%|0.44%|3.23%||||||||||
|~地雷ナバリの盾|2.11%|1.05%|0.44%|||3.33%||||||||
|~重装の盾||2.09%|0.44%|3.23%||||||||||
|~トドの盾|||0.44%|||||||||||
|~金の盾|||0.44%|||||||5.33%||||
|~きたえた木の盾|||0.44%||12.50%|||||5.33%||||
|~象牙の盾|||0.44%|||||||||||
|~身かわしの盾||||||||50.00%||||||
|~はね返しの盾||||||||50.00%||||||
|~うろこの盾|2.11%|1.05%|0.44%|||||||||||
|~呪いよけの盾|||0.44%|||||||||||
|~カラクロイドの盾|||||||||||100.00%|||
|~しあわせの盾|||0.44%|||3.33%||||5.33%||||
|~矛の盾|||0.44%|||||||||||
|~風魔の盾|||0.44%|||||||||||
|~ばん族の立て||0.70%|0.44%|||3.33%||||||||
|~オオカブトの盾|2.11%|0.70%|0.44%|||3.33%||||||||
|~木の矢|||0.75%|6.45%||||||||||
|~鉄の矢|2.63%|1.22%|1.50%|||||||||||
|~銀の矢|2.63%|1.22%|1.50%|||||||||||
|~会心の矢|||0.75%|||3.33%|4.76%|||6.67%||||
|~かまいたちの矢|||0.75%|||3.33%|4.76%|||6.67%||||
|~回復の腕輪|||||6.25%|||||||||
|~遠投の腕輪|1.32%|0.73%|0.88%|||1.67%|1.59%|||||||
|~とうしの腕輪|1.32%|0.49%|0.88%|||1.67%|1.59%|||||||
|~たれ流しの腕輪|||0.88%||||1.59%|||||||
|~ハラヘラズの腕輪|||||||||50.00%|||||
|~まがりの腕輪||0.73%|||6.25%|||||||||
|~百発百中の腕輪||0.73%||||||||||||
|~パコレプキンの腕輪|||0.88%||||1.59%|||||||
|~くねくねよけの腕輪||0.49%||||||||||||
|~ちからの腕輪|1.32%|0.49%|0.88%|||1.67%|1.59%|||||||
|~まじしおの腕輪|1.32%|0.49%|0.88%|||1.67%|1.59%|||||||
|~ワナ師の腕輪||||6.45%||||||||||
|~紙一重の腕輪||0.73%||||||||||||
|~しあわせの杖||0.37%|0.49%|||||||||||
|~不幸の杖||0.37%|0.49%|||||||||||
|~場所がえの杖|1.13%|0.55%|0.49%|1.61%|||1.30%|||||||
|~ふきとばしの杖|1.13%|0.55%|0.49%|1.61%|||1.30%|||||||
|~封印の杖|||0.49%||||1.30%|||||||
|~鈍足の杖||0.73%|0.49%|||||||||||
|~クオーターの杖|||0.49%|||||||||||
|~引きよせの杖||0.37%|0.49%|1.61%||1.25%|1.30%|||||||
|~回復の杖|1.13%|0.37%|||12.50%|||||||||
|~からぶりの杖|1.13%|0.37%|0.49%|||1.25%|1.30%|||||||
|~草投げの杖||0.37%|0.49%|||1.25%|1.30%|||||||
|~草受けの杖||0.37%|0.49%|||1.25%|1.30%|||||||
|~火ばしらの杖|1.13%|0.37%|0.49%|||1.25%|1.30%|||||||
|~トンネルの杖||0.55%|0.49%|1.61%||||||||||
|~ころばぬ先の杖|1.13%|0.37%|0.49%||12.50%|1.25%|1.30%|||||||
|~物知りの杖|1.13%|1.10%|0.49%|||1.25%|1.30%|||||||
|~のりうつりの杖||0.55%|0.49%|||1.25%|1.30%|||||||
|~おにぎり|5.26%|1.83%|7.89%|9.68%||||||||||
|~大きなおにぎり||1.83%||||||||||||
|~巨大なおにぎり||1.83%||||||||||||
|~特製おにぎり||1.83%||||||||||||
|~ほぞんの壺|2.63%|0.98%||3.23%|||1.36%|||||||
|~しきべつの壺|2.63%|0.98%|0.88%|||1.67%|1.36%|||||||
|~合成の壺||0.98%|0.88%|||1.67%||||||||
|~へんげの壺||0.98%|0.88%|||1.67%|1.36%|||||||
|~手封じの壺|||0.88%||||1.36%|||||||
|~水がめ||0.98%|0.88%|||1.67%|1.36%|||||||
|~草効果の壺|||||||1.36%|||||||
|~弱化の壺|||0.88%||||1.36%|||||||
|~石|1.32%|1.22%|1.32%|1.61%||||||||||
|~デブータの石|1.32%|1.22%|1.32%|1.61%||||||||||
|~大砲の弾|2.63%|2.44%|2.63%|3.23%||3.33%||||||||
|~ギタン|10.53%|9.76%|10.53%|||||||||||
|~ころび石||||0.84%||||||||||
|~ケロケロの雨||||0.84%||||||||||
|~装備はずしのワナ||||0.84%||||||||||
|~デロデロの湯||||0.84%||||||||||
|~召喚スイッチ||||0.84%||||||||||
|~落とし穴||||0.84%||||||||||
|~バネ||||0.84%||||||||||
|~丸太のワナ||||0.84%||||||||||
|~回転板||||0.84%||||||||||
|~眠りガス||||0.84%||||||||||
|~鈍足のワナ||||0.84%||||||||||
|~トラバサミ||||0.84%||||||||||
|~毒矢のワナ||||0.84%||||||||||
|~地雷||||0.84%||||||||||
|~大型地雷||||0.84%||||||||||
|~水てきポットン||||0.84%||||||||||
|~イガイガボトボト||||0.84%||||||||||
|~落石のワナ||||0.84%||||||||||
|~大落石のワナ||||0.84%||||||||||
|~木の矢のワナ||||0.84%||||||||||
|~鉄の矢のワナ||||0.84%||||||||||
|~モンスターのワナ||||0.84%||||||||||
|~一方通行||||1.67%||||||||||
|~レンサのワナ||||2.51%||||||||||
#style(end)

