|モンスター名|HP|攻撃|守備|覚醒率|速|種1|種2|経験値|睡眠タイプ|落率|ランダムドロップ&br;の有無|固定ドロップ|HP+|攻+|成長|アイコン|特技率|A|B||A内容|B内容|h
|~ボーンドラゴン|61|23|20|65|1|0|76|57|5|32|1|0x00|2|3|20|5|0|0|0|0|||
|~スカルドラゴン|80|48|35|65|1|0|76|400|5|0|1|0x00|2|3|15|5|0|0|0|0|||
|~ガルムドラゴン|132|104|62|65|1|0|76|3500|5|0|1|0x00|2|3|5|5|0|0|0|0|||
|~岩獣ズドン|55|27|21|65|1|0|0|40|5|10|1|0x00|3|3|10|5|5|0|5|0||固定ダメ|
|~岩獣ガガン|70|28|26|65|1|0|0|85|5|4|1|0x00|3|3|10|5|25|2|10|0|壊れる壁|固定ダメ|
|~岩獣ドガガーン|115|102|71|65|1|0|0|3100|5|32|1|0x00|3|3|5|5|20|5|15|0|壊れる壁|固定ダメ|
|~チビオニ|12|10|6|100|1|2|0|8|5|0|1|0x00|1|1|50|1|0|0|0|0|||
|~ゴツオニ|60|15|20|100|2|2|0|70|5|0|0|0x2C|1|1|50|1|0|0|0|0|||
|~ズングリオニ|60|15|20|100|1|2|0|50|5|0|1|0x00|1|1|50|1|40|3|0|0|||
|~ヤセオニ|50|9|18|100|1|2|0|60|5|0|1|0x00|1|1|50|1|40|0|0|0|||
|~ヒョロオニ|41|10|16|100|2|2|0|50|5|0|1|0x00|1|1|50|1|40|0|0|0|||
|~ガリガリオニ|50|13|17|100|2|2|0|60|5|0|1|0x00|1|1|50|1|40|0|0|0|||
|~ヨロイグモ|55|21|23|100|1|0|0|100|5|3|1|0x00|1|1|50|1|0|0|0|0|||
|~女王グモ|170|30|30|100|1|0|0|200|5|0|1|0x00|5|3|120|1|15|0|0|0|||
|~アメンジャ|54|18|20|100|2|0|32|100|5|0|1|0x00|6|1|10|1|60|5|5|0|投げる距離？||
|~ガラハ|71|21|23|100|1|10|0|120|5|0|1|0x00|0|0|0|6|0|15|3|0|？|？|
|~鬼親分|450|45|40|100|1|2|128|0|5|0|0|0x57|0|0|0|6|30|25|10|0|炎ダメ|吹き飛ばしダメ|
|~店主|500|200|50|100|1|0|0|0|5|0|1|0x00|0|0|0|6|0|0|0|0|||
|~店長|700|300|70|100|1|0|0|0|5|0|1|0x00|0|0|0|6|0|0|0|0|||
|~大店長|900|400|90|100|1|0|0|0|5|0|1|0x00|0|0|0|6|0|0|0|0|||
|~とうぞく番|150|150|40|100|1|0|0|0|5|0|1|0x00|0|0|0|6|0|0|0|0|||
|~番犬|100|50|40|100|2|0|0|0|5|0|1|0x00|0|0|0|6|0|0|0|0|||
|~行商人|500|10|50|100|1|0|0|0|5|0|1|0x00|0|0|0|6|0|0|0|0|||
|~おしうり|700|10|70|100|1|0|0|0|5|0|1|0x00|0|0|0|6|0|0|0|0|||
|~？|1|1|1|0|1|0|0|0|0|0|1|0x00|0|0|0|6|0|0|0|0|||
|~土人形【並】|20|15|20|0|1|0|0|0|0|0|1|0x00|0|0|0|6|0|0|0|0|||
|~土人形【良】|35|20|25|0|1|0|0|0|0|0|1|0x00|0|0|0|6|0|0|0|0|||
|~土人形【優】|40|35|30|0|1|0|0|0|0|0|1|0x00|0|0|0|6|0|0|0|0|||
|~鬼木偶|5|0|2|100|2|0|0|5|5|0|1|0x00|0|0|0|6|0|0|0|0|||
|~鬼木偶その2|8|0|3|100|2|0|0|12|5|0|1|0x00|0|0|0|6|0|0|0|0|||
|~シュテン村の子|100|1|30|100|1|0|0|0|1|0|1|0x00|0|0|0|6|0|0|0|0|||
|~シュテン村の子？|150|1|40|100|1|0|0|0|1|0|1|0x00|0|0|0|6|0|0|0|0|||
|~シュテン村の子？|200|1|50|100|1|0|0|0|1|0|1|0x00|0|0|0|6|0|0|0|0|||
|~シュテン村の子？|250|1|60|100|1|0|0|0|1|0|1|0x00|0|0|0|6|0|0|0|0|||
|~シュテン村の子？|300|1|70|100|1|0|0|0|1|0|1|0x00|0|0|0|6|0|0|0|0|||

